Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Escuela Infantil Lázaro,Calle Hermanos Gomez 42,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,18
Escuela Infantil MS Kids,Calle Hierro 15 17,Beata,Calle Alicante nº 3,12
Escuela Infantil Madiba,Plaza Pza Francisco De Asis Cabrero S/N 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Madrid Chamartin,Avenida Comandante Franco 8,Pío XII,Avenida Pío XII nº 3,17
Escuela Infantil Mafalda,Calle Palafox 18,Manuel Silvela,Calle Manuel Silvela nº 20,18
Escuela Infantil Magos,Calle Doce De Octubre 24 Local 6,Doce de Octubre,Calle Doce de Octubre nº 28,5
Escuela Infantil Mamatina,Calle Humera 37,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Mamá Queca,Calle Aranzazu 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Mamá Queca II,Calle Sanchez Guerrero 7,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Margal,Calle Sierra Toledana 7,Sierra Toledana,Camino de Valderribas nº 94,19
Escuela Infantil Margot,Calle Valdesangil 41,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil María Auxiliadora,Calle Pan Y Toros 19,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil María Inmaculada,Calle Luis Ruiz 26,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Menagar,Calle Chile 14,Colombia,Calle Colombia nº 7,6
Escuela Infantil Merlin,Calle Mercurio 51,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Mi Casita,Calle Caracoli 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Mi Cole. Calle Martínez Villergas,Calle Martinez Villergas 16,Derechos Humanos,Calle Derechos Humanos nº 12,6
Escuela Infantil Mi Primer Cole,Calle Silvano 182,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Mi Primer Cole 2,Calle Ramon De Aguinaga 5,Marqués de Zafra,Paseo Marqués de Zafra nº 24,1
Escuela Infantil Mi Primer Cole 3,Calle Vereda Del Carmen 9,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,18
Escuela Infantil Mi Primer Cole 4,Calle Tiberiades 10,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Micos Mi Primer Cole,Calle Guadalquivir 16,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Escuela Infantil Miniclub,Calle Campo De La Estrella (Local C2-7) 7,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Mis Bebes,Avenida Monasterio De El Escorial 26,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Mis Primeros Pasitos,Calle Villamayor De Santiago 11,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Monseñor Alves Bras,Calle Villaviciosa 24,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Montemar,Calle Monasterio De Oseira 19,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Mundo Mágico Luismapetonga,Carretera Vicalvaro A La Estacion De O'Donnell 18,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Muñecos,Calle Minerva 25,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Muñequito,Calle Polan 7 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Mínimos y Diminutos,Calle Seseña 28,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Nanos,Calle La Bañeza 43,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil Nanos Doctor Vallejo,Calle Doctor Vallejo 3,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Nayer Kids,Avenida Peseta 22,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Nazaret. Calle Arenas de Iguña,Calle Arenas De Iguña 1,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Nazaret. Calle Quintiliano,Calle Quintiliano 3,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Escuela Infantil Nemomarlin Aravaca,Calle Lamiaco 12,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Nemomarlin Arroyo del Fresno,Calle Arroyo Del Monte 53,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Nemomarlin Butarque,Calle Berrocal 3,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Nemomarlin Carabanchel,Calle Pinar De San Jose 23,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Nemomarlin Montecarmelo,Calle Monasterio De Las Batuecas 15,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Nemomarlín,Calle Melendez Valdes 28,Fernando el Católico,Calle Fernando el Católico nº 19,10
Escuela Infantil Nemomarlín Arganzuela,Calle Carmen Cobeña 4,Pirámides,Calle Toledo nº 181,5
Escuela Infantil Nemomarlín Ciudad Jardín,Calle Nieremberg 8,Prosperidad,Calle Suero de Quiñones nº 2,8
Escuela Infantil Nemomarlín Conde de Orgaz,Calle Toronga 25,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Nemomarlín Cuatro Caminos,Calle Bravo Murillo 107,Cuatro Caminos 2,Calle Doctor Santero nº 1,1
Escuela Infantil Nemomarlín Guindalera,Calle Maria Teresa 14,Cartagena,Calle Cartagena nº 34,1
Escuela Infantil Nemomarlín Las Tablas,Calle Fromista 5,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Nemomarlín Paseo de la Habana,Paseo La Habana (Local 1 Y 2) 87,Alberto Alcocer,Avenida de Alberto Alcocer nº 22,13
Escuela Infantil Nemomarlín Pintor Rosales,Paseo Pintor Rosales 32,Pintor Rosales,Paseo del Pintor Rosales frente al nº 38,23
Escuela Infantil Nemomarlín Retiro,Avenida Menendez Pelayo 71,Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73,8
Escuela Infantil Nemomarlín Sanchinarro,Avenida Alcalde Conde De Mayalde 7,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Nemomarlín Valdebebas,Avenida Juan Antonio Samaranch 37,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Nenúfar,Calle Villajimena 30,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Nubbe,Plaza Tres Olivos 16,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Nubes 2,Calle Santa Saturnina 11,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Nubes. Calle Gabriel Usera 39,Calle Gabriel Usera 39,Antonio López,Calle Eugenio Caxes frente al nº 12,18
Escuela Infantil Nuestra Señora de la Encarnación,Plaza Inmaculada Concepcion 1,San Delfín,Calle San Delfín nº 9,17
Escuela Infantil Nuestra Señora de la Providencia,Calle Marques De Portugalete 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Nuestra Señora de las Victorias,Calle Fray Junipero Serra 26 Situada En La Misma Parroquia,Remonta,Calle Azucenas nº 1,12
Escuela Infantil Nuestra Señora de los Dolores,Calle San Bernardo 99,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,9
Escuela Infantil Nuestra Señora del Camino,Calle Martinez De La Riva 127 Plaza Peña Gudina S/N,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Nuestra Señora del Rosario,"Calle Relampaguito C/  Puebla De Sanabria , 20",Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Nueva Vida, Sambara 80,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Nuevo Cascabel,Calle Golfo De Salonica 29,Chamartín,Calle Rodríguez Jaén nº 40,7
Escuela Infantil Okapi,Calle Corregidor Jose De Pasamonte 24,Marroquina,Calle Camino de los Vinateros nº 108,16
Escuela Infantil Olavide,Calle General Alvarez De Castro 22,General Álvarez de Castro,Calle del General Álvarez de Castro nº 1,20
Escuela Infantil Ori Ori,Calle Santa Tecla 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Osobuco,Calle Huelva 4,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil Osobuco II,Avenida Alfonso Xiii 30,Corazón de María,Calle Santa Hortensia nº 31,5
Escuela Infantil Palmas Palmitas,Calle San Juan De Ortega S/N,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Parque de Hortaleza,Calle Mar Caspio 6,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Pasitos,Calle Andorra 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Paso a paso,Calle Valdelasierra 7-B ,Madrid Río-Yeserías,Paseo de Yeserías nº 45,19
Escuela Infantil Patuco,Calle Castillejos 24,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil Pekes,Calle Real De Arganda 32,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Pelocho,Calle Ligonde 3,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Pentapolín,Calle Antonio Sanfiz 24,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Pepito Grillo,Paseo Ginebra 45,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Peque`s School,Avenida Betanzos 78,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Pequeando,Calle Alcalde Henche De La Plata 32,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Pequemun,Calle Olivos 8,San Francisco de Sales,Calle General Ampudia nº 2,8
Escuela Infantil Peques. Calle Fernando VII.,Calle Fernando Vii 5,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Pequeña Gaia,Calle Berrocal 72,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Pequeñecos Parque Norte,Calle Serrano Galvache 56,Chamartín,Calle Rodríguez Jaén nº 40,7
Escuela Infantil Pequeñilandia,Calle Virgen De Los Desamparados 42,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Pequeñines. Calle Pingüino,Calle Pingüino 7,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Pequeño Koala,Camino Viejo De Vicalvaro 20,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Pequeños Amigos,Avenida Monasterio De El Escorial 74,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Pequeños Bichitos,Calle Ocaña 12,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Petirrojo,Calle Luis Buñuel 4,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Pipo's. Calle Cáceres,Calle Caceres 50,Embajadores-Cáceres,Calle Embajadores nº 101,5
Escuela Infantil Pipo's. Calle General Palanca,Calle General Palanca 4,Embajadores-Cáceres,Calle Embajadores nº 101,5
Escuela Infantil Pipolandia 2,Calle Caceres 50,Embajadores-Cáceres,Calle Embajadores nº 101,5
Escuela Infantil Pippo,Calle Clara Del Rey 33,Prosperidad,Calle Suero de Quiñones nº 2,8
Escuela Infantil Piruetas,Avenida Canillejas A Vicalvaro 82,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Pompas,Calle Los Yebenes 255,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Pozo del Tio Raimundo,Calle Villacarrillo 4,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Pradolongo,Avenida Poblados 144,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil Preschool Fem,Calle Olivos 9,San Francisco de Sales,Calle General Ampudia nº 2,8
Escuela Infantil Projardín Bruselas,Calle Bristol 1,Avenida Bruselas,Avenida Bruselas nº 56,11
Escuela Infantil Projardín Delicias,Paseo Delicias 65,Paseo de las Delicias,Paseo de las Delicias nº 92,7
Escuela Infantil Projardín Madrid - 2,Calle Fermin Caballero 61,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Projardín Pinar,Calle Ramon Camarero 3,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Projardín Retiro,Plaza Doctor Laguna 5,Doce de Octubre,Calle Doce de Octubre nº 28,5
Escuela Infantil Projardín Valdebebas,Calle Maria De Las Mercedes De Borbon 162,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Projardín Ventas,Calle Ramon Patuel 10,Puente de Ventas,Avenida de Daroca nº 2,16
Escuela Infantil Puerta del Ángel,Calle Juan Tornero 13,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Escuela Infantil Pícolos,Calle Valmojado 117,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Pública Cinco Lobitos,Calle Morales S/N,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Quita y Pon,Calle Don Quijote 41,General Perón 1,Avenida del General Perón frente al nº 4,0
Escuela Infantil Rayuela,Avenida Villa De Vallecas,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Reggio,Calle San Juan De Ortega 20,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Reina de los Ángeles,Calle Darro 30,Paseo de la Habana 42,Paseo de la Habana nº 42,5
Escuela Infantil Retamar,Calle Felipe De Diego 8,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Risitas,Calle Joaquin Costa 12,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Escuela Infantil Rocío Durcal,Avenida Avenida Ingeniero Emilio Herrera 12,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Rocío Jurado,Calle Briviesca 6,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Roger de Flor,Plaza Roger De Flor 18,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Escuela Infantil Rosa,Paseo Habana 173,Pío XII,Avenida Pío XII nº 3,17
Escuela Infantil Rosalía Rendú,Calle Espada 9,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,5
Escuela Infantil Sagrada Familia,Calle Ricardo Ortiz 114,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Escuela Infantil Sagrados Corazones,Calle General Cabrera 19 23,Orense 36,Calle Orense nº 36,11
Escuela Infantil San Alonso de Orozco,Calle Vicente Aleixandre 6,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Escuela Infantil San Fermín,Calle Estafeta 14,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil San Gabriel Arcángel,Calle Isla De Nelson 1,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil San Jorge,Calle General Aranaz 85,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil San José de Cluny,Calle San Restituto 24,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil San Miguel II,Calle Castuera 16,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil San Roque,"Calle Abolengo 10 C/V C/ Oca, 35",Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Escuela Infantil San Simón y San Judas,Calle Campotejar 39,Glorieta de Cádiz,Calle Antonio López nº 129,18
Escuela Infantil San Vicente de Paul,Plaza San Vicente De Paul 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil San Víctor,Plaza Pico Salvaguardia 3,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil Sancalo,Calle Virgen De Aranzazu 1,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Sandy,Calle Seo De Urgel 15,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Santa Bernardita,Calle Principe De Asturias 10,Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2,6
Escuela Infantil Santa Catalina,Calle Fuente Del Rey 44,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Santa Claus,Calle Napoles 28,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Santa Elena,Calle Escalona 81,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Santa Eugenia,Calle Puentelarra 9,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Santa Luisa,Calle Tantalo 21,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Santa María,Calle Virgen De Lluc 60,C.D. Concepción,Calle Jose del Hierro nº 5,19
Escuela Infantil Santa Mónica,Calle Villamanin 29,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Santa Rosalía,Calle Motilla Del Palancar 36,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Santa Teresa,"Avenida Andalucia 10,2",Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Shantala,Calle Martinez De La Riva S/N ,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Sierra de Filabres Es-Cool,Calle Sierra De Filabres 71,Sierra Toledana,Camino de Valderribas nº 94,19
Escuela Infantil Smiles Bilingual Nursery School,Calle Puente La Reina 36,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Sol Solito,Calle Monasterio De Guadalupe 9,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil St Alice's Nursery,Calle Fernandez De La Hoz 21,General Martínez Campos ,Calle Fernández de la Hoz nº 29,8
Escuela Infantil St Alice's Nursery Galileo,Calle Galileo 47,Galileo,Calle Galileo nº 63,13
Escuela Infantil Suecia Garden,Calle Suecia 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Sunny Baby,Calle Concejal Francisco Jose Jimenez Martin 122,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Superkids Daycare,Avenida Monasterio De El Escorial 36,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Surikata,Calle Manuel Pombo Angulo 24,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Tania Jardin,Avenida Palomeras 29,Concordia,Calle Arroyo del Olivar nº 6,21
Escuela Infantil Tanuca,Calle Longares 36,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Escuela Infantil Teddy,Calle Leon Gil De Palacio 5,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,7
Escuela Infantil Teo Breton,Calle Breton De Los Herreros 46,Zurbano,Calle Zurbano nº 90,7
Escuela Infantil Tiny Tots,Avenida Prunos 80,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil Tobogán II,Calle Fernando Diaz De Mendoza 67,San Delfín,Calle San Delfín nº 9,17
Escuela Infantil Todo Niños Nursery,Camino Barrial 38,Facultad Derecho,Avenida Complutense nº 23,8
Escuela Infantil Todo Niños Nursery Serrano,Calle Serrano 163,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Escuela Infantil Todo para la Infancia,Avenida Doctor Federico Rubio Y Gali 106,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Escuela Infantil Topochitos,Calle Villava 12,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Topochitos II,"Calle Cirauqui , C/V Calle Valcarlos ",Manuel Caldeiro,Paseo de la Castellana nº 298,11
Escuela Infantil Toscana Garden,Calle Toscana 114,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Trapitos,Calle Limonita 1 C/V C/ Estefanita,Embajadores 191,Calle Sodio nº 1B,11
Escuela Infantil Trazos,Calle Condes De Torreanaz 4,Jorge Juan,Calle Jorge Juan nº 131,8
Escuela Infantil Trébol,Calle Finisterre 6 Bajo,Remonta,Calle Azucenas nº 1,12
Escuela Infantil Tábata,Calle Celanova 9,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Escuela Infantil Valle de Oro,Calle Valle De Oro 35,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escuela Infantil Vallehermoso,Calle Fernandez De Los Rios 42,Fernando el Católico,Calle Fernando el Católico nº 19,10
Escuela Infantil Verbo Encarnado,Calle Alenza 28,Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,1
Escuela Infantil Vida,Calle Corregidor Jose De Pasamonte 7,Marroquina,Calle Camino de los Vinateros nº 108,16
Escuela Infantil Virgen de Begoña,Calle Angel Mugica 48,Pedro Rico,Calle Pedro Rico nº 4,0
Escuela Infantil Virgen del Parque,Calle Jacobinia 74,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Woody,Calle Camarena 96,Caramuel,Calle Caramuel nº 51,5
Escuela Infantil Zaleo,Calle Fuente De Piedra 10,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Zazuar I,Avenida Santa Eugenia 62,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Zazuar II,Calle Fuentespina 17,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Zazuar III,Calle Zazuar 2,Pavones,Calle Hacienda de Pavones nº 342,16
Escuela Infantil Zofio,Calle Fornillos 3,San Delfín,Calle San Delfín nº 9,17
Escuela Infantil del Complejo Cuzco,Paseo Castellana 162,Castellana 164,Paseo de la Castellana nº 164,14
Escuela Infantil del Cuerpo Nacional de Policía,Calle Julian Gonzalez Segador S/N ,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escuela Infantil del Ministerio de Defensa,Paseo Castellana 109,San Germán 5,Calle San Germán nº 5,3
Escuela Infantil del Ministerio de Fomento,Paseo Castellana 67,Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1
Escuela Infantil del Ministerio de Inmigración,Calle Jose Abascal 39,José Abascal,Calle José Abascal nº 33,8
Escuela Infantil kind for Kids,Calle Torrelaguna 65,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Escuela Infantil las Acacias,Calle Francisco De Diego 44,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Escuela Infantil las Gaviotas,Calle Medina De Pomar 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
